"","years","weeks","Cure_0","Cure_1","Cure_2","Cure_3","Cure_4","Cure_5","Cure_10","Cure_15","Cure_20","background"
"55",10.8,54,0.0718891696471494,0.0658851561508109,0.0599344687622244,0.0540578498844935,0.0482796440881707,0.0426325693724961,0.0179510934336187,0.00455815194161768,0.00128012383753798,0.841942856132795
"56",11,55,0.0706470176160005,0.0646968292507811,0.0588031302704716,0.0529868036548713,0.0472723283492513,0.0416924372104364,0.0173908173048315,0.00433600556869366,0.00119351726716993,0.838333638835331
"57",11.2,56,0.0694477292147443,0.0635503368800298,0.057712491343214,0.0519552046550554,0.0463030766452395,0.0407888431609586,0.016856916375551,0.00412778396476245,0.00111381547874974,0.834589538459356
"58",11.4,57,0.0682891145142747,0.0624435148765138,0.0566604177888698,0.0509609534903553,0.0453698299779097,0.0399197749821104,0.016347743094601,0.00393242308217917,0.00104038494446479,0.830845438083382
"59",11.6,58,0.0671691304707434,0.061374345509154,0.0556449212002743,0.0500020956757614,0.0444706731092493,0.0390833627205958,0.0158617774028635,0.00374895450095712,0.00097265781146924,0.827101337707408
"60",11.8,59,0.0660858688087322,0.060340945319415,0.0546641467635727,0.0490768094232744,0.0436038223413651,0.0382778665014674,0.0153976150249314,0.00357649557670995,0.00091012432171764,0.823357237331433
"61",12,60,0.0650375450843476,0.0593415541528682,0.0537163622668946,0.0481833946384193,0.0427676145143776,0.0375016655438187,0.0149539569999629,0.00341424073004831,0.0008523261943395,0.819613136955459
"62",12.2,61,0.0640224887963668,0.0583745252472055,0.0527999481735865,0.0473202629890028,0.0419604970836356,0.0367532482620774,0.0145296003037703,0.00326145373090474,0.000798850837406931,0.815726884227898
"63",12.4,62,0.0630391344301352,0.0574383162600054,0.0519133886418873,0.0464859289265685,0.041181019155273,0.0360312033304986,0.0141234294337828,0.00311746085185479,0.000749326275846331,0.811840631500336
"64",12.6,63,0.0620860133331834,0.0565314811340427,0.0510552633876468,0.0456790015559565,0.0404278233743258,0.0353342116039017,0.0137344088452942,0.002981644781958,0.000703416698953539,0.807954378772775
"65",12.8,64,0.0611617463338423,0.055652662710428,0.0502242402993782,0.0448981772612612,0.0396996385727185,0.0346610388009996,0.0133615761417667,0.00285343920747328,0.000660818545035107,0.804068126045213
"66",13,65,0.0602650370247868,0.0548005860106705,0.0494190687258997,0.0441422330076111,0.0389952730957285,0.0340105288681367,0.0130040359342996,0.00273232397843557,0.000621257052563755,0.800181873317652
"67",13.2,66,0.0593946656426698,0.0539740521181214,0.0486385733663181,0.0434100202478315,0.0383136087353152,0.0333815979511793,0.0126609542959913,0.00261782079086314,0.00058448321726895,0.796157510829881
"68",13.4,67,0.058549483483034,0.0531719325973881,0.0478816487003591,0.0427004593714134,0.0376535952071802,0.0327732289118969,0.0123315537460833,0.002509489323591,0.00055027110308718,0.79213314834211
"69",13.6,68,0.0577284077966748,0.0523931643973903,0.0471472539042157,0.0420125346404852,0.0370142451157973,0.0321844663326443,0.0120151087066986,0.00240692377663593,0.000518415462117949,0.788108785854339
"70",13.8,69,0.0569304171197228,0.0516367451899037,0.0464344082033503,0.0413452895638165,0.036394629358065,0.0316144119596548,0.0117109413818502,0.00230974976479574,0.00048872962487858,0.784084423366568
"71",14,70,0.0561545469950503,0.0509017291008357,0.0457421866191444,0.0406978226654216,0.0357938729218409,0.0310622205409256,0.0114184180143526,0.00221762152603772,0.000461043627393164,0.780060060878797
"72",14.2,71,0.0553998860472705,0.0501872227962024,0.0450697160710771,0.0400692836091675,0.0352111510405126,0.0305270960196289,0.0111369454814569,0.00213021940927997,0.000435202546131044,0.775911337548543
